,name,bus_longitude,bus_latitude
398,Woltmannweg,13.3179532,52.41408320000001
399,Celsiusstraße Nord,13.3156624,52.4163006
400,Celsiusstraße Nord,13.3158483,52.4164723
401,Mergentheimer Straße,13.3543423,52.444420900000004
402,Mergentheimer Straße,13.3554624,52.4446488
403,Hünefeldzeile,13.356509699999998,52.448827
404,Hünefeldzeile,13.356975699999998,52.4485589
405,S Südende,13.3526606,52.4493831
406,S Südende,13.353991899999999,52.4489613
407,Illigstraße/Schichauweg,13.3853584,52.397171
408,Illigstraße/Grenzweg,13.386178,52.3943259
409,Illigstraße/Maffeistraße,13.3857701,52.3907294
410,Cecilienstraße,13.388632300000001,52.388611499999996
411,Wünsdorfer Straße/Blohmstraße,13.394106400000002,52.3888993
412,Wünsdorfer Straße/Blohmstraße,13.3944553,52.3885874
