,latitude,longitude,title,type
0,52.479745,13.425782,U Boddinstraße,2
1,52.520316,13.421895,U Schillingstraße,2
2,52.45345,13.384771,U Ullsteinstraße,2
3,52.514662,13.465347,U Samariterstraße,2
4,52.499587,13.374293,U Gleisdreieck,2
5,52.493834,13.324051,U Hohenzollernplatz,2
6,52.518025,13.432208,U Strausberger Platz,2
7,52.503763,13.331419,U Kurfürstendamm,2
8,52.54193000000001,13.393157,U Voltastraße,2
9,52.559516,13.41377,U Vinetastraße,2
10,52.460513,13.384904999999998,U Kaiserin-Augusta-Straße,2
11,52.541085,13.41216,U Eberswalder Straße,2
12,52.567111,13.311524,U Scharnweberstraße,2
13,52.55667,13.341013,U Rehberge,2
14,52.50274200000001,13.326232999999998,U Uhlandstraße,2
15,52.467342,13.309276,U Breitenbachplatz,2
16,52.571122,13.303074,U Otisstraße,2
17,52.525837,13.342401,U Turmstraße,2
18,52.509798,13.272977,U Theodor-Heuss-Platz,2
19,52.50589599999999,13.512791,U Friedrichsfelde,2
20,52.532622,13.412625,U Senefelderplatz,2
21,52.48921899999999,13.407685,U Südstern,2
22,52.54649300000001,13.359395,U Leopoldplatz,2
23,52.519908,13.373454,U Bundestag,2
24,52.499644,13.353825,U Nollendorfplatz,2
25,52.511495,13.389719,U Stadtmitte,2
26,52.535397,13.377033,U Schwartzkopffstraße,2
27,52.530672,13.382927,U Naturkundemuseum,2
28,52.539895,13.370393,U Reinickendorfer Straße,2
29,52.499249,13.418167,U Kottbusser Tor,2
30,52.589933,13.283298,U Alt-Tegel,2
31,52.497236,13.523626,U Tierpark,2
32,52.49084499999999,13.360917,U Kleistpark,2
33,52.537994,13.396231,U Bernauer Straße,2
34,52.503806,13.374719,U Mendelssohn-Bartholdy-Park,2
35,52.574534,13.347532,U Paracelsus-Bad,2
36,52.502109,13.342560999999998,U Wittenbergplatz,2
37,52.429253,13.453851,U Johannisthaler Chaussee,2
38,52.457695,13.290010999999998,U Dahlem-Dorf,2
39,52.542202,13.349534,U Amrumer Straße,2
40,52.486673,13.425123,U Hermannplatz,2
41,52.487047,13.331355,U Berliner Straße,2
42,52.511841,13.409881,U Märkisches Museum,2
43,52.506673,13.390863,U Kochstraße/ Checkpoint Charlie,2
44,52.525587,13.241902,U Ruhleben,2
45,52.439115,13.387881,U Alt-Mariendorf,2
46,52.525671,13.387927,U Oranienburger Tor,2
47,52.497657,13.362452,U Bülowstraße,2
48,52.575394,13.339047,U Lindauer Allee,2
49,52.58821800000001,13.325568,U Rathaus Reinickendorf,2
50,52.415614,13.496734,U Rudow,2
51,52.47814200000001,13.386725,U Paradestraße,2
52,52.490201,13.314519,U Fehrbelliner Platz,2
53,52.498274,13.406531,U Prinzenstraße,2
54,52.511513,13.305286,U Bismarckstraße,2
55,52.424645,13.463109,U Lipschitzallee,2
56,52.556938,13.373284,U Osloer Straße,2
57,52.48106800000001,13.435246,U Rathaus Neukölln,2
58,52.442615,13.24036,U Krumme Lanke,2
59,52.464998,13.328409,U Walther-Schreiber-Platz,2
60,52.52978100000001,13.401393,U Rosenthaler Platz,2
61,52.51507900000001,13.45418,U Frankfurter Tor,2
62,52.493575,13.388153,U Mehringdamm,2
63,52.511301,13.402352,U Spittelmarkt,2
64,52.505834,13.306885,U Wilmersdorfer Straße,2
65,52.517048,13.2505,U Olympia-Stadion,2
66,52.45274300000001,13.448976000000002,U Blaschkoallee,2
67,52.450146,13.254016,U Onkel Toms Hütte,2
68,52.51715400000001,13.307220999999998,U Richard-Wagner-Platz,2
69,52.512213,13.489439,U Magdalenenstraße,2
70,52.516848,13.443276999999998,U Weberwiese,2
71,52.437076,13.447668,U Britz-Süd,2
72,52.472874,13.4284,U Leinestraße,2
73,52.497774,13.39176,U Hallesches Tor,2
74,52.423152,13.47482,U Wutzkyallee,2
75,52.539012,13.231757,U Haselhorst,2
76,52.518111,13.342165,U Hansaplatz,2
77,52.538561,13.568996,U Kienberg (Gärten der Welt),2
78,52.51151899999999,13.383798,U Mohrenstraße,2
79,52.570177,13.565729,Ahrensfelde,1
80,52.520918,13.4119673,Alexanderplatz,1
81,52.4078731,13.5597,Altglienicke,1
82,52.577969,13.349747,Alt-Reinickendorf,1
83,52.4471296,13.3612496,Attilastraße,1
84,52.39128276,13.091279,Babelsberg,1
85,52.4676829,13.489723499999998,Baumschulenweg,1
86,52.52002270000001,13.3474821,Bellevue,1
87,52.6698079,13.3215298,Bergfelde,1
88,52.5034309,13.381518,Anhalter Bahnhof,1
89,52.51651999999999,13.382879999999998,Brandenburger Tor,1
90,52.5147216,13.4747184,Frankfurter Allee,1
91,52.5247785,13.3689908,Hauptbahnhof,1
92,52.5099225,13.4356788,Ostbahnhof,1
93,52.5089,13.3752,Potsdamer Platz,1
94,52.475248,13.3655394,Südkreuz,1
95,52.507066,13.3321203,Zoologischer Garten,1
96,52.4351731,13.5409386,Adlershof,1
97,52.5909783,13.442888,Blankenburg,1
98,52.6365121,13.492506900000002,Buch,1
99,52.5052127,13.3057846,Charlottenburg,1
100,52.4573692,13.6249337,Friedrichshagen,1
101,52.5203623,13.3861932,Friedrichstraße,1
102,52.63291329999999,13.2895389,Frohnau,1
103,52.5483554,13.3892166,Gesundbrunnen,1
104,52.41307020000001,13.5732065,Grünau,1
105,52.48878479,13.2618334,Grunewald,1
106,52.4965684,13.2897578,Halensee,1
107,52.6181836,13.306744,Hermsdorf,1
108,52.5661846,13.5123563,Hohenschönhausen,1
109,52.48117,13.5257755,Karlshorst,1
110,52.61575229999999,13.4700714,Karow,1
